taps,beta,cutoff,delay,gain_db,null_lufs,null_rms,null_peak,esr,mae,mse,mrstft
129,14.0,0.8,95.50002163378396,-1.6283670527051726e-06,-inf,-100.10638574707662,-67.37171162607201,9.758013739935588e-11,1.405769447084465e-07,6.0924830932004426e-12,6.252486671571479e-06
129,14.0,0.85,95.49997836621604,-1.2662659139534232e-06,-inf,-100.65844355516032,-68.32382737033672,8.593214339538725e-11,1.3909239042233666e-07,5.36523256424856e-12,5.710416739565587e-06
129,14.0,0.9,95.50002163378396,-9.789315929198893e-07,-inf,-101.18750040851282,-69.22256824500228,7.607640103661004e-11,1.3790081007478598e-07,4.749882501294191e-12,5.294280222523275e-06
129,14.0,0.95,95.49997836621604,-1.9899634793693637e-06,-inf,-101.66495950041477,-70.06823431658638,6.815599304984096e-11,1.373018593883438e-07,4.25536637294368e-12,4.862937515641808e-06
257,6.0,0.5,159.49997836621606,0.0010556326889097965,-inf,-97.14193679175305,-63.12917135064389,1.9311069231408454e-10,1.685794535540494e-07,1.2040500367812623e-11,9.682521013735298e-06
257,6.0,0.6,159.50002163378394,-0.0011173940281138614,-inf,-98.028992047436,-64.76913897135016,1.5743482120009923e-10,1.6454938794144406e-07,9.81610080649094e-12,8.33593992263413e-06
257,6.0,0.7,159.49997836621606,0.0011162866224247111,-inf,-99.11963740530459,-66.60034203228732,1.2247184473693448e-10,1.6219593734113605e-07,7.636150406438155e-12,7.021126290106849e-06
257,6.0,0.75,159.50002163378394,-0.00017005496360232312,-inf,-100.06713978584519,-68.5355944219253,9.846593777533217e-11,1.5419564962820215e-07,6.139376053153073e-12,5.8005674665363924e-06
257,6.0,0.8,159.50002163378394,-0.0010659371837557854,-inf,-100.46461220433797,-68.69690801846136,8.985428227984788e-11,1.5597110654460868e-07,5.602437161171836e-12,5.797092774988922e-06
257,6.0,0.85,159.49997836621606,0.00040219847429761923,-inf,-101.575062127725,-70.54850463382206,6.9581500069151e-11,1.4690112648703593e-07,4.338424077590353e-12,4.791941912104079e-06
257,6.0,0.9,159.49997836621606,0.0009591506191925142,-inf,-102.07124997603107,-70.79780409611479,6.206903628974175e-11,1.487043415236985e-07,3.870020066319772e-12,4.860242711119671e-06
257,6.0,0.95,159.50002163378394,-0.0006134026091229681,-inf,-103.08043295065066,-72.04432728896782,4.919904864238911e-11,1.4375624654126588e-07,3.067573090728917e-12,4.393156148584165e-06
257,8.0,0.5,159.49997836621606,0.00015009678091716932,-inf,-97.28531029336591,-63.52322712635103,1.868396179899776e-10,1.6073287633437286e-07,1.164949730215543e-11,9.131740206864218e-06
257,8.0,0.6,159.50002163378394,-0.00016421910454265048,-inf,-98.22748475665104,-65.29205854612937,1.5040127721972324e-10,1.5855843144083444e-07,9.37755756547245e-12,7.826053643306437e-06
257,8.0,0.7,159.49997836621606,0.00016430900767467385,-inf,-99.36748078128603,-67.24323732232365,1.156783064551072e-10,1.5514491435433745e-07,7.212571581253006e-12,6.475858934016363e-06
257,8.0,0.75,159.50002163378394,-1.550733249873248e-05,-inf,-100.03436161374893,-68.50950763006756,9.92119163953115e-11,1.5141820246475777e-07,6.18588800824271e-12,5.809030818289625e-06
257,8.0,0.8,159.50002163378394,-0.00016175943504564906,-inf,-100.75396867351768,-69.49770048411759,8.406266084276108e-11,1.4909101801185288e-07,5.241328103937157e-12,5.246265195956544e-06
257,8.0,0.85,159.49997836621606,4.870618370326366e-05,-inf,-101.55030709758961,-70.79297431232271,6.997925106414101e-11,1.4593404655891506e-07,4.363223952439777e-12,4.722708830350848e-06
257,8.0,0.9,159.49997836621606,0.00014545931419526013,-inf,-102.36193662833051,-71.73141910177287,5.805054977935904e-11,1.436511075799671e-07,3.61946641894525e-12,4.412943820853969e-06
257,8.0,0.95,159.50002163378394,-8.34839623036565e-05,-inf,-103.13755151453601,-72.68832823029383,4.855621754910891e-11,1.4070411012157222e-07,3.027492409942516e-12,4.0857056799784015e-06
257,10.0,0.5,159.49997836621606,1.8488306980703315e-05,-inf,-97.27820070734103,-63.50378357718172,1.8714573291214208e-10,1.5958599544735867e-07,1.1668583644753798e-11,9.163554984258306e-06
257,10.0,0.6,159.50002163378394,-2.352346341312259e-05,-inf,-98.21825592225983,-65.23810960946382,1.507212224125132e-10,1.5635290586234177e-07,9.397506228932275e-12,7.844025973426882e-06
257,10.0,0.7,159.50002163378394,2.180640663553706e-05,-inf,-99.34867713824502,-67.21407570580304,1.1618024451780052e-10,1.519693916100073e-07,7.243867546049448e-12,6.494610014917368e-06
257,10.0,0.75,159.50002163378394,-8.91841224988171e-07,-inf,-99.99997018189573,-68.3435552430285,1.0000068658958086e-10,1.5000844607745344e-07,6.235068028781259e-12,5.876593386295668e-06
257,10.0,0.8,159.50002163378394,-2.352899300715558e-05,-inf,-100.71196683240966,-69.4852294608934,8.487959853392093e-11,1.479369109809323e-07,5.292264375010599e-12,5.279465612010021e-06
