case,freq,mag_db,phase_rad
DmblJazz:noon,250,-28.0142012986,0.457073312417
DmblJazz:noon,500,-26.8921395303,0.342508043586
DmblJazz:noon,1000,-25.9095230632,0.280019221304
DmblJazz:noon,2000,-24.8800158199,0.217908495416
DmblJazz:noon,4000,-24.2182912706,0.134840296712
DmblJazz:noon,8000,-23.9855874926,0.0710620831987
DmblJazz:noon,16000,-23.9288142211,0.0356073903474
DmblJazz:bass0,31.5,-44.1260170761,1.64544561768
DmblJazz:bass0,63,-38.5918931453,1.34326269909
DmblJazz:bass0,125,-34.1112593144,1.09467336079
DmblJazz:bass0,250,-30.3687323533,0.830726312988
DmblJazz:bass0,500,-28.0250265777,0.572578121641
DmblJazz:bass0,1000,-26.640697185,0.40609997951
DmblJazz:bass0,2000,-25.4841304029,0.290695048149
DmblJazz:bass0,4000,-24.7270285436,0.185032239101
DmblJazz:bass0,8000,-24.3601086597,0.108854303426
DmblJazz:bass0,16000,-24.1945981152,0.0598289631781
DmblJazz:bass10,31.5,-28.0882521813,1.10481436836
DmblJazz:bass10,63,-24.4266645709,0.665841226911
DmblJazz:bass10,125,-23.4706649488,0.279791037943
DmblJazz:bass10,250,-23.9108206178,0.0951083030621
DmblJazz:bass10,500,-24.2418277938,0.0582728398126
DmblJazz:bass10,1000,-24.1426238773,0.0711916761158
DmblJazz:bass10,2000,-23.6809983032,0.0661075280077
DmblJazz:bass10,4000,-23.4072566666,0.0147825873673
DmblJazz:bass10,8000,-23.5980011361,-0.0297039866367
DmblJazz:bass10,16000,-23.9021515425,-0.0339945301941
DmblJazz:treble10,31.5,-36.6293899609,1.31996245555
DmblJazz:treble10,63,-32.6100430837,1.02265000748
DmblJazz:treble10,125,-30.3636254127,0.915020171677
DmblJazz:treble10,250,-27.3962064196,1.04993081524
DmblJazz:treble10,500,-22.6571793354,1.19237535005
DmblJazz:treble10,1000,-17.1611331083,1.20032419952
DmblJazz:treble10,2000,-11.8973345527,1.05158692923
DmblJazz:treble10,4000,-7.86825928147,0.765276512091
DmblJazz:treble10,8000,-5.76601995527,0.456901916709
DmblJazz:treble10,16000,-5.03487735889,0.242137870926
FndrDeluxe5E3:noon,31.5,-0.620301619681,0.0325422398206
FndrDeluxe5E3:noon,63,-0.649926677835,-0.00473856657118
FndrDeluxe5E3:noon,125,-0.7736924732,-0.0384995513335
FndrDeluxe5E3:noon,250,-1.09314428551,-0.0653200285908
